bin_maxbins_20_x,bin_maxbins_20_x_end,bin_maxbins_20_y,bin_maxbins_20_y_end,mean_z
95.0,100.0,0.0,5.0,0.5202895866892039
5.0,10.0,30.0,35.0,0.488948636005597
30.0,35.0,5.0,10.0,0.5073524415558693
5.0,10.0,15.0,20.0,0.5316347809926799
90.0,95.0,15.0,20.0,0.5151931195317572
80.0,85.0,15.0,20.0,0.5070116296381522
30.0,35.0,0.0,5.0,0.556556685402787
50.0,55.0,15.0,20.0,0.46767925755813816
40.0,45.0,45.0,50.0,0.480934410225339
85.0,90.0,5.0,10.0,0.4993792267724328
55.0,60.0,5.0,10.0,0.5029214741142568
45.0,50.0,0.0,5.0,0.48764068698038143
50.0,55.0,40.0,45.0,0.5037376037850314
0.0,5.0,30.0,35.0,0.4820274139034017
55.0,60.0,20.0,25.0,0.510628243399306
25.0,30.0,10.0,15.0,0.5142393811846282
5.0,10.0,45.0,50.0,0.4837854939084369
65.0,70.0,20.0,25.0,0.47867604059587404
40.0,45.0,25.0,30.0,0.51623379021777
65.0,70.0,40.0,45.0,0.5085013136662454
45.0,50.0,25.0,30.0,0.5451774197133878
85.0,90.0,20.0,25.0,0.5209703836077104
35.0,40.0,30.0,35.0,0.503908493518536
50.0,55.0,20.0,25.0,0.518354607321154
35.0,40.0,35.0,40.0,0.5327789328690061
85.0,90.0,45.0,50.0,0.4878878420558695
25.0,30.0,25.0,30.0,0.48973789169114396
75.0,80.0,40.0,45.0,0.5273251308554688
55.0,60.0,25.0,30.0,0.5029274007626257
65.0,70.0,30.0,35.0,0.48226447637016495
90.0,95.0,10.0,15.0,0.5033986585797773
75.0,80.0,20.0,25.0,0.4920216812214925
75.0,80.0,45.0,50.0,0.493234442361518
90.0,95.0,40.0,45.0,0.48142471308286866
85.0,90.0,0.0,5.0,0.4922013289412009
95.0,100.0,5.0,10.0,0.4697817494747435
15.0,20.0,25.0,30.0,0.4883506309513456
95.0,100.0,25.0,30.0,0.5111451790161619
90.0,95.0,30.0,35.0,0.5096411920544396
70.0,75.0,25.0,30.0,0.48768026010170884
95.0,100.0,30.0,35.0,0.516544631911766
35.0,40.0,45.0,50.0,0.5271395022490223
60.0,65.0,40.0,45.0,0.4878822395620803
55.0,60.0,0.0,5.0,0.4923768763954831
25.0,30.0,20.0,25.0,0.5065345915499838
70.0,75.0,40.0,45.0,0.5220889690637674
95.0,100.0,35.0,40.0,0.49554732828274006
40.0,45.0,40.0,45.0,0.5118932193332192
50.0,55.0,45.0,50.0,0.5150656389451342
55.0,60.0,10.0,15.0,0.4738777049409428
40.0,45.0,20.0,25.0,0.4953868447297438
45.0,50.0,15.0,20.0,0.4848857134114486
5.0,10.0,20.0,25.0,0.5081587684299108
75.0,80.0,5.0,10.0,0.45625315873511374
95.0,100.0,20.0,25.0,0.4847208262070889
95.0,100.0,10.0,15.0,0.4886319304646811
10.0,15.0,35.0,40.0,0.5162032090947012
50.0,55.0,30.0,35.0,0.4805810852820858
45.0,50.0,40.0,45.0,0.49730514115227215
55.0,60.0,45.0,50.0,0.5096723966670648
20.0,25.0,45.0,50.0,0.4930264712682128
30.0,35.0,45.0,50.0,0.4922434562377939
20.0,25.0,30.0,35.0,0.49820632290409
30.0,35.0,20.0,25.0,0.4846566558925444
20.0,25.0,5.0,10.0,0.4979106935272522
70.0,75.0,30.0,35.0,0.4862463695304763
20.0,25.0,10.0,15.0,0.46718980352833817
10.0,15.0,10.0,15.0,0.48697710389177407
45.0,50.0,10.0,15.0,0.48272319633451943
80.0,85.0,40.0,45.0,0.4996189424681991
15.0,20.0,35.0,40.0,0.49882450076163
75.0,80.0,10.0,15.0,0.5379276624450172
20.0,25.0,0.0,5.0,0.5065661600579997
85.0,90.0,35.0,40.0,0.4820762910487898
0.0,5.0,10.0,15.0,0.5326636747099082
35.0,40.0,40.0,45.0,0.49104214529756146
5.0,10.0,40.0,45.0,0.4988454757850499
95.0,100.0,40.0,45.0,0.5435469308796074
0.0,5.0,40.0,45.0,0.5022402654739919
15.0,20.0,40.0,45.0,0.4941275492083299
75.0,80.0,30.0,35.0,0.49391113082811156
15.0,20.0,0.0,5.0,0.49854935392881916
60.0,65.0,15.0,20.0,0.5149299466582941
60.0,65.0,20.0,25.0,0.49544477230946193
40.0,45.0,10.0,15.0,0.5054693960246478
30.0,35.0,35.0,40.0,0.47179149812344573
10.0,15.0,25.0,30.0,0.5347725132743495
35.0,40.0,0.0,5.0,0.500591343939572
30.0,35.0,30.0,35.0,0.49227782854778374
0.0,5.0,25.0,30.0,0.4597483415096419
35.0,40.0,10.0,15.0,0.506573383941014
70.0,75.0,20.0,25.0,0.517728790832366
20.0,25.0,35.0,40.0,0.4859886944100433
35.0,40.0,20.0,25.0,0.4935142768733174
5.0,10.0,5.0,10.0,0.5108470938869212
0.0,5.0,15.0,20.0,0.5016740435237196
60.0,65.0,35.0,40.0,0.5257970164686226
80.0,85.0,20.0,25.0,0.487709991886766
75.0,80.0,0.0,5.0,0.49677385217328807
15.0,20.0,5.0,10.0,0.5154807896267378
10.0,15.0,30.0,35.0,0.5273463437604878
40.0,45.0,35.0,40.0,0.4823386021554668
65.0,70.0,10.0,15.0,0.4806685858725219
45.0,50.0,30.0,35.0,0.514550229618863
35.0,40.0,5.0,10.0,0.47835134275660934
60.0,65.0,10.0,15.0,0.5012702155396095
25.0,30.0,35.0,40.0,0.5007271724391942
45.0,50.0,45.0,50.0,0.5148969567731537
10.0,15.0,0.0,5.0,0.5364025219921155
15.0,20.0,45.0,50.0,0.510866001995883
80.0,85.0,45.0,50.0,0.5127324435311412
40.0,45.0,30.0,35.0,0.48399316444218704
15.0,20.0,30.0,35.0,0.4691580428532864
85.0,90.0,10.0,15.0,0.47778908804190523
25.0,30.0,15.0,20.0,0.522119161693706
20.0,25.0,40.0,45.0,0.5124579681463052
40.0,45.0,0.0,5.0,0.5135456917892723
65.0,70.0,35.0,40.0,0.496829072537343
50.0,55.0,10.0,15.0,0.5063833297494441
